action_type,step,expected_utility
ActionType.TRANSFORM,2,-0.15242005533580494
ActionType.TRANSFORM,3,-0.08089874174284348
ActionType.TRANSFORM,4,0.05571880084999556
ActionType.TRANSFORM,5,0.296273934399375
ActionType.TRANSFORM,6,0.6885881262677283
ActionType.TRANSFORM,7,1.2670249692915792
ActionType.TRANSFORM,8,2.022891591241906
ActionType.TRANSFORM,9,2.9042077594300153
ActionType.TRANSFORM,10,3.855564864022331
ActionType.TRANSFORM,11,4.851766997927397
ActionType.TRANSFORM,12,5.896027640646796
ActionType.TRANSFORM,13,7.002379114973706
ActionType.TRANSFORM,14,8.1836402836164
ActionType.TRANSFORM,15,9.44792560968373
ActionType.TRANSFORM,16,10.799387293802631
ActionType.TRANSFORM,17,12.239835908247509
ActionType.TRANSFORM,18,13.769960115308226
ActionType.TRANSFORM,19,15.389991194806974
ActionType.TRANSFORM,20,17.099998233319255
ActionType.TRANSFORM,21,18.89999967767344
ActionType.TRANSFORM,22,20.78999994650084
ActionType.TRANSFORM,23,22.76999999191855
ActionType.TRANSFORM,24,24.839999998889212
ActionType.TRANSFORM,25,26.9999999998618
ActionType.TRANSFORM,26,29.24999999998412
ActionType.TRANSFORM,27,31.58999999999862
ActionType.TRANSFORM,28,34.020000000000415
ActionType.TRANSFORM,29,36.54000000000088
ActionType.TRANSFORM,30,39.15000000000123
ActionType.TRANSFORM,31,41.85
ActionType.TRANSFORM,32,44.64000000000197
ActionType.TRANSFORM,33,47.52000000000236
ActionType.TRANSFORM,34,50.49000000000105
ActionType.TRANSFORM,35,53.54999999999964
ActionType.TRANSFORM,36,56.700000000001836
ActionType.TRANSFORM,37,59.94000000000228
ActionType.TRANSFORM,38,63.270000000000785
ActionType.TRANSFORM,39,66.6900000000012
ActionType.TRANSFORM,40,70.20000000000164
ActionType.TRANSFORM,41,73.8000000000021
ActionType.TRANSFORM,42,77.49000000000258
ActionType.TRANSFORM,43,81.27000000000089
ActionType.TRANSFORM,44,85.14000000000135
ActionType.TRANSFORM,45,89.10000000000184
ActionType.TRANSFORM,46,93.14999999999999
ActionType.TRANSFORM,47,97.29000000000049
ActionType.TRANSFORM,48,101.52000000000099
ActionType.TRANSFORM,49,105.84000000000151
ActionType.TRANSFORM,50,110.25000000000205
ActionType.TRANSFORM,51,114.75
ActionType.TRANSFORM,52,119.3400000000032
ActionType.TRANSFORM,53,124.0200000000038
ActionType.TRANSFORM,54,128.79000000000167
ActionType.TRANSFORM,55,133.64999999999944
ActionType.TRANSFORM,56,138.60000000000286
ActionType.TRANSFORM,57,143.6400000000035
ActionType.TRANSFORM,58,148.7700000000012
ActionType.TRANSFER,59,140.7056422907154
ActionType.TRANSFER,60,146.69589529609306
ActionType.TRANSFORM,61,152.01152763253594
ActionType.TRANSFORM,62,157.41318043488113
ActionType.TRANSFORM,63,161.49656757363576
ActionType.TRANSFER,64,163.14335020495528
ActionType.TRANSFER,65,162.5707868467307
ActionType.TRANSFER,66,157.13895056520704
ActionType.TRANSFER,67,154.97099998955287
ActionType.TRANSFER,68,174.87334114012288
ActionType.TRANSFER,69,177.35351260471666
ActionType.TRANSFER,70,178.39237838941895
ActionType.TRANSFER,71,178.9132228779981
ActionType.TRANSFER,72,185.52544093696443
ActionType.TRANSFER,73,187.95167675922295
ActionType.TRANSFER,74,188.62254543738183
ActionType.TRANSFER,75,189.33214742526286
ActionType.TRANSFER,76,196.18759724037957
ActionType.TRANSFER,77,198.51051705292605
ActionType.TRANSFER,78,198.64266962511311
ActionType.TRANSFER,79,199.78663003160005
ActionType.TRANSFER,80,206.85650469933208
ActionType.TRANSFER,81,209.00855511127278
ActionType.TRANSFER,82,208.35732121576783
ActionType.TRANSFER,83,199.99240643084664
ActionType.TRANSFER,84,195.0479999999461
ActionType.TRANSFER,85,219.9023786270522
ActionType.TRANSFER,86,222.83246652590276
ActionType.TRANSFER,87,224.0957460023817
ActionType.TRANSFER,88,222.55072105819687
ActionType.TRANSFER,89,230.62415488550343
ActionType.TRANSFER,90,233.43918868154896
ActionType.TRANSFER,91,234.06152500021057
ActionType.TRANSFER,92,233.08088124908073
ActionType.TRANSFER,93,241.35890399969227
ActionType.TRANSFER,94,243.98386687535697
ActionType.TRANSFER,95,243.6451088601768
ActionType.TRANSFER,96,243.6469874203049
ActionType.TRANSFER,97,252.09790346463404
ActionType.TRANSFER,98,254.42088821101117
ActionType.TRANSFER,99,252.62971158470754
ActionType.TRANSFER,100,206.3174381072009
ActionType.TRANSFER,101,186.34500000000105
ActionType.TRANSFER,102,257.0399262475577
ActionType.TRANSFER,103,268.1323845285172
ActionType.TRANSFORM,104,275.45013975309746
ActionType.TRANSFER,105,274.51213309128286
ActionType.TRANSFER,106,280.8333048401962
ActionType.TRANSFER,107,280.3096074830608
ActionType.TRANSFER,108,286.20868789925515
ActionType.TRANSFER,109,286.08052982924175
ActionType.TRANSFER,110,291.577084498169
ActionType.TRANSFER,111,291.8261243923959
ActionType.TRANSFER,112,296.93921403857286
ActionType.TRANSFER,113,297.5476093302746
ActionType.TRANSFER,114,302.29572616602394
ActionType.TRANSFER,115,303.24618794379427
ActionType.TRANSFER,116,307.647206804637
ActionType.TRANSFER,117,308.9230414997245
ActionType.TRANSFER,118,312.9941838030147
ActionType.TRANSFER,119,314.5793234344633
ActionType.TRANSFER,120,318.33713218874095
ActionType.TRANSFER,121,320.2161547622254
ActionType.TRANSFER,122,323.67647903651095
ActionType.TRANSFER,123,325.8346205276054
ActionType.TRANSFER,124,329.0126079606779
ActionType.TRANSFER,125,331.43576715848405
ActionType.TRANSFER,126,334.34586324703605
ActionType.TRANSFER,127,337.0206005904117
ActionType.TRANSFER,128,339.67655364139796
ActionType.TRANSFER,129,342.5900850477985
ActionType.TRANSFER,130,345.00495581422916
ActionType.TRANSFER,131,348.1451423803754
ActionType.TRANSFER,132,350.3313175215314
ActionType.TRANSFER,133,353.6866518654551
ActionType.TRANSFER,134,355.655860482478
ActionType.TRANSFER,135,359.21545039750225
ActionType.TRANSFER,136,360.9787829941734
ActionType.TRANSFER,137,364.73233299646233
ActionType.TRANSFER,138,366.300262303442
ActionType.TRANSFER,139,370.2380535752393
