action_type,step,expected_utility
ActionType.TRANSFORM,2,-0.15242005533580494
ActionType.TRANSFORM,3,-0.08089874174284348
ActionType.TRANSFORM,4,0.05571880084999556
ActionType.TRANSFORM,5,0.296273934399375
ActionType.TRANSFORM,6,0.6885881262677283
ActionType.TRANSFORM,7,1.2670249692915792
ActionType.TRANSFORM,8,2.022891591241906
ActionType.TRANSFORM,9,2.9042077594300153
ActionType.TRANSFORM,10,3.855564864022331
ActionType.TRANSFORM,11,4.851766997927397
ActionType.TRANSFORM,12,5.896027640646796
ActionType.TRANSFORM,13,7.002379114973706
ActionType.TRANSFORM,14,8.1836402836164
ActionType.TRANSFORM,15,9.44792560968373
ActionType.TRANSFORM,16,10.799387293802631
ActionType.TRANSFORM,17,12.239835908247509
ActionType.TRANSFORM,18,13.769960115308226
ActionType.TRANSFORM,19,15.389991194806974
ActionType.TRANSFORM,20,17.099998233319255
ActionType.TRANSFORM,21,18.89999967767344
ActionType.TRANSFORM,22,20.78999994650084
ActionType.TRANSFORM,23,22.76999999191855
ActionType.TRANSFORM,24,24.839999998889212
ActionType.TRANSFORM,25,26.9999999998618
ActionType.TRANSFORM,26,29.249999999985448
ActionType.TRANSFORM,27,31.590000000000003
ActionType.TRANSFORM,28,34.020000000000415
ActionType.TRANSFORM,29,36.54000000000088
ActionType.TRANSFORM,30,39.15000000000123
ActionType.TRANSFORM,31,41.850000000001586
ActionType.TRANSFORM,32,44.64000000000197
ActionType.TRANSFORM,33,47.52000000000067
ActionType.TRANSFORM,34,50.49000000000105
ActionType.TRANSFORM,35,53.55000000000143
ActionType.TRANSFORM,36,56.700000000001836
ActionType.TRANSFORM,37,59.94000000000228
ActionType.TRANSFORM,38,63.270000000000785
ActionType.TRANSFORM,39,66.6900000000012
ActionType.TRANSFORM,40,70.20000000000164
ActionType.TRANSFORM,41,73.8000000000021
ActionType.TRANSFORM,42,77.49000000000258
ActionType.TRANSFORM,43,81.27000000000089
ActionType.TRANSFORM,44,85.14000000000135
ActionType.TRANSFORM,45,89.10000000000184
ActionType.TRANSFORM,46,93.15000000000235
ActionType.TRANSFORM,47,97.29000000000289
ActionType.TRANSFORM,48,101.52000000000099
ActionType.TRANSFORM,49,105.84000000000151
ActionType.TRANSFORM,50,110.25000000000205
ActionType.TRANSFORM,51,114.7500000000026
ActionType.TRANSFORM,52,119.3400000000032
ActionType.TRANSFORM,53,124.02000000000109
ActionType.TRANSFORM,54,128.79000000000167
ActionType.TRANSFORM,55,133.64999999999944
ActionType.TRANSFORM,56,138.6
ActionType.TRANSFORM,57,143.64000000000058
ActionType.TRANSFORM,58,148.7700000000012
ActionType.TRANSFORM,59,153.99000000000183
ActionType.TRANSFORM,60,159.2999999999994
ActionType.TRANSFORM,61,164.7
ActionType.TRANSFORM,62,170.19000000000065
ActionType.TRANSFORM,63,175.7700000000013
ActionType.TRANSFORM,64,181.44000000000196
ActionType.TRANSFORM,65,187.19999999999933
ActionType.TRANSFER,66,136.62000000000066
ActionType.TRANSFER,67,183.85595695678902
ActionType.TRANSFER,68,188.59147899798276
ActionType.TRANSFER,69,190.79298669926808
ActionType.TRANSFER,70,190.87500055966984
ActionType.TRANSFER,71,190.4215933051717
ActionType.TRANSFER,72,200.04933194156206
ActionType.TRANSFER,73,202.11469033123004
ActionType.TRANSFER,74,201.56035377160066
ActionType.TRANSFER,75,201.4872268621677
ActionType.TRANSFER,76,211.5033030911381
ActionType.TRANSFER,77,213.35140599869212
ActionType.TRANSFER,78,211.88409142683471
ActionType.TRANSFER,79,212.5888103755239
ActionType.TRANSFER,80,222.94617455080737
ActionType.TRANSFORM,81,229.45686433985875
ActionType.TRANSFORM,82,236.05517910363926
ActionType.TRANSFORM,83,240.88249389822087
ActionType.TRANSFER,84,242.75429830009713
ActionType.TRANSFER,85,240.41813730163108
ActionType.TRANSFER,86,241.48791553268123
ActionType.TRANSFER,87,252.77420977818244
ActionType.TRANSFORM,88,259.7122576539482
ActionType.TRANSFER,89,261.7685133374465
ActionType.TRANSFER,90,265.78580900082403
ActionType.TRANSFER,91,267.6788475647233
ActionType.TRANSFER,92,271.84369509580677
ActionType.TRANSFER,93,273.8157532516186
ActionType.TRANSFER,94,277.5383592551046
ActionType.TRANSFER,95,280.89595547371965
ActionType.TRANSFER,96,282.1135042427109
ActionType.TRANSFER,97,276.30449179356816
ActionType.TRANSFER,98,289.7407066918912
ActionType.TRANSFORM,99,297.1785221874222
ActionType.TRANSFORM,100,304.70538099581455
ActionType.TRANSFORM,101,312.321314155291
ActionType.TRANSFER,102,315.77826600881815
ActionType.TRANSFER,103,316.41316629263196
ActionType.TRANSFER,104,306.47004231747974
ActionType.TRANSFER,105,296.2574999999991
ActionType.TRANSFER,106,327.5326480026708
ActionType.TRANSFER,107,331.5765637450795
ActionType.TRANSFER,108,334.13278058471934
ActionType.TRANSFER,109,330.5084134460487
ActionType.TRANSFER,110,329.66999629619875
ActionType.TRANSFER,111,344.29446041358085
ActionType.TRANSFORM,112,352.4772928708027
ActionType.TRANSFORM,113,360.7490654144868
ActionType.TRANSFORM,114,366.55008423688463
ActionType.TRANSFER,115,368.7015211893625
ActionType.TRANSFER,116,361.7688684240588
ActionType.TRANSFER,117,364.33799797154063
ActionType.TRANSFER,118,379.68929505589483
ActionType.TRANSFORM,119,388.3075582429254
ActionType.TRANSFER,120,389.8163071684307
ActionType.TRANSFER,121,394.94586461450956
ActionType.TRANSFER,122,396.32292944198053
ActionType.TRANSFER,123,401.57534541946586
ActionType.TRANSFER,124,403.2026350668777
ActionType.TRANSFER,125,407.5723924264777
ActionType.TRANSFER,126,411.53427739436404
ActionType.TRANSFER,127,411.237340281524
ActionType.TRANSFER,128,398.01599999939987
ActionType.TRANSFER,129,418.5220404473643
ActionType.TRANSFER,130,424.7197680726308
ActionType.TRANSFER,131,427.13647839219675
ActionType.TRANSFER,132,417.6373266381804
ActionType.TRANSFER,133,420.74549972372586
ActionType.TRANSFER,134,438.1258045911178
ActionType.TRANSFORM,135,447.50452284500363
ActionType.TRANSFORM,136,456.9725415174409
ActionType.TRANSFORM,137,463.4524892778914
ActionType.TRANSFER,138,464.7501954297477
