action_type,step,expected_utility
ActionType.TRANSFORM,2,-0.15242005533580494
ActionType.TRANSFORM,3,-0.08089874174284348
ActionType.TRANSFORM,4,0.05571880084999556
ActionType.TRANSFORM,5,0.296273934399375
ActionType.TRANSFORM,6,0.6885881262677283
ActionType.TRANSFORM,7,1.2670249692915792
ActionType.TRANSFORM,8,2.022891591241906
ActionType.TRANSFORM,9,2.9042077594300153
ActionType.TRANSFORM,10,3.855564864022331
ActionType.TRANSFORM,11,4.851766997927397
ActionType.TRANSFORM,12,5.896027640646796
ActionType.TRANSFORM,13,7.002379114973706
ActionType.TRANSFORM,14,8.1836402836164
ActionType.TRANSFORM,15,9.44792560968373
ActionType.TRANSFORM,16,10.799387293802631
ActionType.TRANSFORM,17,12.239835908247509
ActionType.TRANSFORM,18,13.769960115308226
ActionType.TRANSFORM,19,15.389991194806974
ActionType.TRANSFORM,20,17.099998233319255
ActionType.TRANSFORM,21,18.89999967767344
ActionType.TRANSFORM,22,20.78999994650084
ActionType.TRANSFORM,23,22.76999999191855
ActionType.TRANSFORM,24,24.839999998889212
ActionType.TRANSFORM,25,26.9999999998618
ActionType.TRANSFORM,26,29.24999999998412
ActionType.TRANSFORM,27,31.58999999999862
ActionType.TRANSFORM,28,34.020000000000415
ActionType.TRANSFORM,29,36.54000000000088
ActionType.TRANSFORM,30,39.15000000000123
ActionType.TRANSFORM,31,41.85
ActionType.TRANSFORM,32,44.64000000000197
ActionType.TRANSFORM,33,47.52000000000236
ActionType.TRANSFORM,34,50.49000000000105
ActionType.TRANSFORM,35,53.54999999999964
ActionType.TRANSFORM,36,56.700000000001836
ActionType.TRANSFORM,37,59.94000000000228
ActionType.TRANSFORM,38,63.270000000000785
ActionType.TRANSFORM,39,66.6900000000012
ActionType.TRANSFORM,40,70.20000000000164
ActionType.TRANSFORM,41,73.8000000000021
ActionType.TRANSFORM,42,77.49000000000258
ActionType.TRANSFORM,43,81.27000000000089
ActionType.TRANSFORM,44,85.14000000000135
ActionType.TRANSFORM,45,89.10000000000184
ActionType.TRANSFORM,46,93.14999999999999
ActionType.TRANSFORM,47,97.29000000000049
ActionType.TRANSFORM,48,101.52000000000099
ActionType.TRANSFORM,49,105.84000000000151
ActionType.TRANSFORM,50,110.25000000000205
ActionType.TRANSFORM,51,114.75
ActionType.TRANSFORM,52,119.3400000000032
ActionType.TRANSFORM,53,124.0200000000038
ActionType.TRANSFORM,54,128.79000000000167
ActionType.TRANSFORM,55,133.64999999999944
ActionType.TRANSFORM,56,138.60000000000286
ActionType.TRANSFORM,57,143.6400000000035
ActionType.TRANSFORM,58,148.7700000000012
ActionType.TRANSFER,59,140.7056422907154
ActionType.TRANSFER,60,146.69589529609306
ActionType.TRANSFORM,61,152.01152763253594
ActionType.TRANSFORM,62,157.41318043488113
ActionType.TRANSFORM,63,161.49656757363576
ActionType.TRANSFER,64,163.14335020495528
ActionType.TRANSFER,65,157.69184440291878
ActionType.TRANSFER,66,152.36099998901133
ActionType.TRANSFER,67,172.14270892967573
ActionType.TRANSFER,68,174.83512583833348
ActionType.TRANSFER,69,174.25954991327342
ActionType.TRANSFER,70,173.56454808258275
ActionType.TRANSFER,71,182.88206255427897
ActionType.TRANSFORM,72,188.77432909120114
ActionType.TRANSFORM,73,194.7539780270107
ActionType.TRANSFORM,74,199.16412175365815
ActionType.TRANSFER,75,201.37458641971688
ActionType.TRANSFER,76,196.30792139245736
ActionType.TRANSFER,77,207.16356892350944
ActionType.TRANSFORM,78,213.39357379312943
ActionType.TRANSFER,79,216.58566432516437
ActionType.TRANSFER,80,216.64915799608724
ActionType.TRANSFER,81,210.99077411008503
ActionType.TRANSFER,82,214.01999434382998
ActionType.TRANSFER,83,227.4821914288277
ActionType.TRANSFER,84,230.69767703405012
ActionType.TRANSFER,85,232.41989726456478
ActionType.TRANSFER,86,236.3025610284474
ActionType.TRANSFER,87,228.63599060916724
ActionType.TRANSFER,88,241.00361069988668
ActionType.TRANSFORM,89,247.75948695181575
ActionType.TRANSFORM,90,254.60474684473178
ActionType.TRANSFORM,91,259.49294625960346
ActionType.TRANSFER,92,263.59347978801236
ActionType.TRANSFER,93,265.5432859883089
ActionType.TRANSFER,94,250.56096562966408
ActionType.TRANSFER,95,246.66749999999703
ActionType.TRANSFER,96,274.8701349439929
ActionType.TRANSFER,97,278.2745375022013
ActionType.TRANSFER,98,275.3392019567233
ActionType.TRANSFER,99,273.9824864079255
ActionType.TRANSFER,100,287.08547417065347
ActionType.TRANSFORM,101,294.54796619278625
ActionType.TRANSFORM,102,302.099213331379
ActionType.TRANSFORM,103,309.73923442671355
ActionType.TRANSFORM,104,317.4680501138465
ActionType.TRANSFER,105,319.71866740884656
ActionType.TRANSFER,106,311.48099831181844
ActionType.TRANSFER,107,326.2097099793912
ActionType.TRANSFORM,108,334.13336211647857
ActionType.TRANSFORM,109,342.14643381724477
ActionType.TRANSFORM,110,347.775435651066
ActionType.TRANSFER,111,351.7683044707617
ActionType.TRANSFER,112,348.19396229348155
ActionType.TRANSFER,113,325.9484999999984
ActionType.TRANSFER,114,359.5558133912816
ActionType.TRANSFER,115,364.68456315532234
ActionType.TRANSFER,116,356.7580804994007
ActionType.TRANSFER,117,359.0729980008324
ActionType.TRANSFER,118,374.39375843098685
ActionType.TRANSFORM,119,382.9663175194098
ActionType.TRANSFORM,120,391.6278662633755
ActionType.TRANSFORM,121,397.6621399666963
ActionType.TRANSFER,122,399.03476784145647
ActionType.TRANSFER,123,390.21749974260916
ActionType.TRANSFER,124,407.0834336318764
ActionType.TRANSFORM,125,416.0049277270697
ActionType.TRANSFER,126,420.01370793684345
ActionType.TRANSFER,127,407.20609597947436
ActionType.TRANSFER,128,407.80799999805583
ActionType.TRANSFER,129,428.3486732110365
ActionType.TRANSFER,130,433.60088569425074
ActionType.TRANSFORM,131,442.87345330378247
ActionType.TRANSFER,132,443.31603042245905
ActionType.TRANSFER,133,434.51099991380875
ActionType.TRANSFER,134,452.58758654661574
ActionType.TRANSFORM,135,462.05308266291087
ActionType.TRANSFORM,136,471.60817914580207
ActionType.TRANSFORM,137,481.2528866250054
ActionType.TRANSFER,138,485.4384362626136
