action_type,step,expected_utility,state_quality
ActionType.TRANSFORM,2,-0.16953779967466023,302.69999999999993
ActionType.TRANSFORM,3,-0.15845351286144863,302.74999999999994
ActionType.TRANSFORM,4,-0.1494039180342277,302.8
ActionType.TRANSFORM,5,-0.14222687140851237,302.85
ActionType.TRANSFORM,6,-0.13673086821421648,302.9
ActionType.TRANSFORM,7,-0.13271317429202154,302.95
ActionType.TRANSFORM,8,-0.12997240079738076,303.0
ActionType.TRANSFORM,9,-0.1283167410963813,303.05
ActionType.TRANSFORM,10,-0.12756894857928144,303.1
ActionType.TRANSFORM,11,-0.12756894857928758,303.15
ActionType.TRANSFORM,12,-0.12817479175936472,303.20000000000005
ActionType.TRANSFORM,13,-0.12926249075820645,303.25000000000006
ActionType.TRANSFORM,14,-0.1307251436717308,303.3
ActionType.TRANSFORM,15,-0.1324716373391495,303.34999999999997
ActionType.TRANSFORM,16,-0.13442513754346774,303.40000000000003
ActionType.TRANSFORM,17,-0.1365215081826866,303.45000000000005
ActionType.TRANSFORM,18,-0.138707753207199,303.5
ActionType.TRANSFORM,19,-0.14094054003109444,303.55
ActionType.TRANSFORM,20,-0.1431848381449574,303.6
ActionType.TRANSFORM,21,-0.14541268929231976,303.65000000000003
ActionType.TRANSFORM,22,-0.14760211384740068,303.70000000000005
ActionType.TRANSFORM,23,-0.14973615041748584,303.75
ActionType.TRANSFORM,24,-0.1518020210226973,303.8
ActionType.TRANSFORM,25,-0.15379041160245313,303.85
ActionType.TRANSFORM,26,-0.15569485641228117,303.9
ActionType.TRANSFORM,27,-0.15751121463284162,303.95
ActionType.TRANSFORM,28,-0.15923722787361919,304.0
ActionType.TRANSFORM,29,-0.16087214797531468,304.05
ActionType.TRANSFORM,30,-0.16241642543002568,304.1
ActionType.TRANSFORM,31,-0.1638714497332233,304.15
ActionType.TRANSFORM,32,-0.16523933398201465,304.20000000000005
ActionType.TRANSFORM,33,-0.16652273699363626,304.25000000000006
ActionType.TRANSFORM,34,-0.1677247171093695,304.3
ActionType.TRANSFORM,35,-0.1688486126585152,304.34999999999997
ActionType.TRANSFORM,36,-0.16989794477970388,304.40000000000003
ActionType.TRANSFORM,37,-0.17087633893371548,304.45000000000005
ActionType.TRANSFORM,38,-0.17178746199749909,304.5
ActionType.TRANSFORM,39,-0.1726349723096964,304.55
ActionType.TRANSFORM,40,-0.17342248045094774,304.6
ActionType.TRANSFORM,41,-0.17415351889521896,304.65000000000003
ActionType.TRANSFORM,42,-0.17483151896869215,304.70000000000005
ActionType.TRANSFORM,43,-0.17545979380728982,304.75
ActionType.TRANSFORM,44,-0.1760415262189873,304.8
ActionType.TRANSFORM,45,-0.1765797605383482,304.85
ActionType.TRANSFORM,46,-0.17707739771317646,304.9
ActionType.TRANSFORM,47,-0.17753719299118492,304.95
ActionType.TRANSFORM,48,-0.1779617556818921,305.0
ActionType.TRANSFORM,49,-0.1783535505588116,305.05
ActionType.TRANSFORM,50,-0.17871490054216832,305.1
ActionType.TRANSFORM,51,-0.179047990365199,305.15
ActionType.TRANSFORM,52,-0.17935487097956587,305.20000000000005
ActionType.TRANSFORM,53,-0.17963746449921167,305.25000000000006
ActionType.TRANSFORM,54,-0.17989756951851352,305.3
ActionType.TRANSFORM,55,-0.18013686667105447,305.34999999999997
ActionType.TRANSFORM,56,-0.18035692432070105,305.40000000000003
ActionType.TRANSFORM,57,-0.18055920429779782,305.45000000000005
ActionType.TRANSFORM,58,-0.18074506761085452,305.5
ActionType.TRANSFER,59,-0.23132027095650862,306.25
ActionType.TRANSFER,60,-0.23128240465655342,307.0
ActionType.TRANSFER,61,-0.2312757312197214,307.6
